Index,Time,GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,H,R,P
100,1459120910,-2.27295,-2.30286,4.51599,-0.0661621,-0.127502,0.960938,0.16156,0.05544,-0.20958,229.949,-7.51018,5.61517
101,1459120910,-0.37384,0.919647,7.6712,-0.117676,-0.164795,1.00421,0.11886,0.0546,-0.2044,229.693,-7.69309,5.72293
102,1459120910,0.620575,-1.38321,5.49545,-0.118713,-0.106812,1.01434,0.1358,0.05012,-0.1288,229.383,-7.52288,5.81978
103,1459120910,-1.10657,-0.740204,5.86929,-0.0909424,-0.142822,0.987976,0.11298,0.0532,-0.19516,229.143,-7.59257,5.76433
104,1459120911,-0.112152,-2.27295,6.71417,-0.0933228,-0.15625,0.992554,0.12082,0.01624,-0.13818,228.825,-7.72768,5.72524
105,1459120911,-0.343933,-0.321503,7.11792,-0.103821,-0.124512,0.995117,0.12432,0.01134,-0.19194,228.49,-7.6683,5.74829
106,1459120911,1.18134,-0.553284,7.46933,-0.103149,-0.118469,1.02966,0.12208,0.04312,-0.20412,228.209,-7.55483,5.74545
107,1459120911,-0.762634,-3.28979,6.62445,-0.0753784,-0.137268,0.966919,0.11004,0.01792,-0.1904,227.923,-7.60581,5.62079
108,1459120911,-0.246735,-0.194397,7.24503,-0.107788,-0.167969,1.00232,0.09842,0.03262,-0.2079,227.693,-7.7983,5.67279
109,1459120912,0.695343,0.643005,6.6095,-0.124878,-0.0883179,1.02863,0.06622,0.03024,-0.19362,227.551,-7.50272,5.80147
110,1459120912,-1.38321,-1.04675,7.55905,-0.0872803,-0.143066,0.991333,0.05082,0.00294,-0.15204,227.409,-7.57317,5.72522
111,1459120912,0.127106,-2.62436,7.97775,-0.10553,-0.150452,0.993896,0.08148,0.01372,-0.15918,227.195,-7.67632,5.75862
112,1459120912,-0.5159,0.411224,7.43195,-0.113281,-0.146362,0.99707,0.02912,0.00014,-0.14826,227.109,-7.74376,5.83089
113,1459120912,0.321503,-0.575714,6.72165,-0.0968628,-0.0946655,1.01575,0.05978,0.00756,-0.15358,226.946,-7.49929,5.79198
114,1459120913,-1.00189,-1.71967,6.96091,-0.0887451,-0.13031,0.993164,0.06146,0.02198,-0.19586,226.801,-7.49687,5.72393
